Sl. No.,Level of Education - State,Primary - 2012-2013,Primary - 2014-2015,Primary - 2014-2015,Upper Primary - 2012-2013,Upper Primary - 2013-2014,Upper Primary - 2014-2015,Secondary - 2012-2013,Secondary - 2013-2014,Secondary - 2014-2015,Senior Secondary - 2012-2013,Senior Secondary - 2013-2014,Senior Secondary - 2014-2015
1,Andhra_Pradesh,3.18,4.35,6.72,3.36,3.78,5.2,12.72,12.65,15.71,0.35,11.79,
2,Arunachal_Pradesh,15.16,10.89,10.82,7.47,5.59,6.71,12.93,14.49,17.11,5.11,17.07,18.42
3,Assam,6.24,7.44,15.36,7.2,7.05,10.51,26.77,30.43,27.06,4.69,7.24,
4,Bihar,,2.09,,,2.98,4.08,30.14,25.33,25.9,,,
5,Chhattisgarh,4.14,1.42,2.91,5.42,3.8,5.85,14.86,23.41,21.26,,,2.76
6,Gujarat,0.74,0.76,0.89,5.2,5.55,6.41,13.55,21.61,25.04,0.46,7.83,7.04
7,Haryana,1.29,0.41,5.61,0.46,2.55,5.81,8.98,12.51,15.89,,2.18,5.75
8,Himachal_Pradesh,0.45,0.46,0.64,0.51,0.78,0.87,8.37,9.09,6.07,9.02,7.07,7.41
9,Jammu_Kashmir,6.3,5.46,6.79,5.52,4.3,5.44,17.33,15.36,17.28,10.66,7.64,12.65
10,Jharkhand,7.21,6.41,5.48,5.47,7.42,8.99,18.5,23.15,24,,,3.41
11,Karnataka,2.97,2.32,2.02,5.05,2.51,3.85,39.92,27.57,26.18,15.33,,1.96
12,Kerala,,,,,,,9.45,14.46,12.32,,6.4,0.47
13,Madhya_Pradesh,6.11,10.14,6.59,8.53,11.7,9.2,13.63,26.47,24.77,,1.55,
14,Maharashtra,0.97,0.55,1.26,1.74,0.61,1.79,16.2,14.47,12.87,3.2,3.34,1.83
15,Manipur,9.86,18,9.66,6.06,7.02,4.2,9.75,13.81,14.38,7.93,3.2,
16,Meghalaya,10.14,10.34,9.46,7.85,6.84,6.52,26.03,24.75,20.52,,,
17,Mizoram,24.11,12.96,10.1,19.28,6.02,4.78,21.42,18.7,21.88,,,6.91
18,Nagaland,7.07,19.41,5.61,9.83,17.86,7.92,26.51,35.11,18.23,18.29,14.19,6.97
19,Odisha,3.56,2.94,2.86,3.81,2.8,3.81,49.86,49.48,29.56,,,
20,Punjab,1.99,1.29,3.05,2.78,2.85,3.22,9.8,8.83,8.86,8.28,5.81,5.83
21,Rajasthan,7.97,8.39,5.02,4.42,6.03,3.07,13.65,18.77,13.48,,,
22,Sikkim,3.6,4.57,2.27,3.15,5.14,1.57,9.23,12.89,15.89,8.1,12.91,11.76
23,Tamil_Nadu,4.06,0.46,,1.24,4.52,,10.2,12.2,8.1,1.87,4.44,3.41
24,Telangana,,5.81,2.08,,4.71,2.3,,17.43,15.53,,13.43,0.77
25,Tripura,2.22,3.58,1.28,3.08,2.72,1.99,25.5,25.09,28.42,8.87,9.11,8.93
26,Uttar_Pradesh,10.28,7.08,8.58,1.06,0.53,2.7,,7.3,10.22,,,2.1
27,Uttarakhand,1.16,3.07,4.04,0.13,1.68,1.19,9.68,8.7,10.4,1.59,,3.01
28,West_Bengal,6.3,2.91,1.47,5.18,4.31,4.3,17.3,18.34,17.8,8.13,7.9,8.11
29,All India,4.67,4.34,4.13,3.13,3.77,4.03,14.54,17.86,17.06,,1.54,
